molecule_chembl_id,smiles
CHEMBL107851,CC(C1=C(O)OC(C(=O)NCCc2ccc(Cl)cc2)(C(C)C)C1=O)c1ccccc1
CHEMBL107965,CNC(=O)[C@@H](NC(=O)[C@H](OCc1ccc(F)cc1F)[C@H](O)[C@@H](O)[C@@H](OCc1ccc(F)cc1F)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C
CHEMBL108016,CC(C)C(=O)c1c[nH]c([C@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)n1
CHEMBL108102,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(O)CN(Cc1ccc(F)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C
CHEMBL108114,CN(C(=O)OC(C)(C)C)C1=C(O)C(CCc2ccccc2)(C(=O)NC(C)(C)C)OC1=O
CHEMBL108226,C=CC(C)(C)C(=O)c1c[nH]c([C@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)n1
CHEMBL108429,COCCOC(=O)NC(C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC1CCCCC1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C
CHEMBL108471,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCC[C@H]1O
CHEMBL108498,Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(-c5cccs5)c4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1
CHEMBL108807,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(O)CN(CC(C)C)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C
CHEMBL108918,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CSc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
CHEMBL108932,COc1ccc(-c2[nH]nc3ccc(CN4C(=O)N(Cc5cccc(N)c5)[C@H](Cc5ccccc5)[C@H](O)[C@@H](O)[C@H]4Cc4ccccc4)cc23)cc1
CHEMBL108960,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@](C)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
CHEMBL109220,CC(C)[C@H](NC(=O)CCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)CCc1cccnc1)C(C)C
CHEMBL109221,CC(C)[C@H](NC(=O)OCc1ccncc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccncc1)C(C)C
CHEMBL109371,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C
CHEMBL109377,Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(-c5cccc(N)c5)c4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1
CHEMBL109450,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCOCCOCCNC(=O)[C@H](C(C)C)NC1=O
CHEMBL109500,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C
CHEMBL109699,CC(C)[C@H](NC(=O)CCN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)CCN1CCOCC1)C(C)C
CHEMBL109952,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)CC(O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
CHEMBL11008,CC(=O)N[C@@H](CSc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C
CHEMBL110144,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1CC(O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL110348,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2OC[C@@H]1O
CHEMBL110385,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CCC(=O)N[C@H]1c2ccccc2C[C@H]1O
CHEMBL11050,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSc1ccc2ccccc2c1)NS(C)(=O)=O
