context,model,uses_smote,trial,threshold,accuracy,roc_auc,pr_auc,precision,recall,f1,mcc,brier,params
outer_fold_2,Extra Trees + SMOTE,True,1,0.492320816135429,0.9144706426259824,0.8923955186767849,0.9845164263842273,0.959643605870021,0.9443011861784425,0.9519105796724721,0.5674187300372158,0.08547574124874331,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 147}"
outer_fold_2,Gradient Boosting,False,2,0.717671392196857,0.9047619047619048,0.8812889099683194,0.9794259964842641,0.9558127301420305,0.9370809695719443,0.9463541666666667,0.5248921662688704,0.06776936398092734,"{""learning_rate"": 0.17495836110326443, ""max_depth"": 6, ""min_samples_leaf"": 18, ""n_estimators"": 128, ""subsample"": 0.85}"
outer_fold_2,Gradient Boosting,False,1,0.4209578186795284,0.9112343966712899,0.8694593586532087,0.977733863546204,0.9491002570694087,0.9520371325425477,0.9505664263645726,0.5162464390690271,0.07533837586965549,"{""learning_rate"": 0.10409671118222781, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 152, ""subsample"": 0.7}"
outer_fold_3,Dummy Prior,False,1,1e-06,0.8965357967667437,0.4975390078751748,0.8960799309502097,0.8965357967667437,1.0,0.9454456892352655,0.0,0.25000000000000283,{}
outer_fold_3,Logistic Regression,False,1,0.18308061967889666,0.9122401847575058,0.8088292117465223,0.9706776240937508,0.9272816007808687,0.9788768675940237,0.9523809523809523,0.4242764856906211,0.08796670160998539,"{""model__C"": 0.5490671005103043}"
outer_fold_3,Logistic Regression,False,2,0.1291395191200095,0.9103926096997691,0.8058070214175315,0.9698193128012831,0.9267220322423058,0.9773312725399279,0.9513540621865597,0.41280789730369427,0.0909921507365591,"{""model__C"": 2.1991947900634194}"
outer_fold_3,Linear SVC,False,2,0.48259444216325115,0.8859122401847576,0.7642783543092662,0.9574192133338293,0.9303861788617886,0.9433281813498197,0.936812484011256,0.3512886620715576,0.10435995230932146,"{""model__C"": 0.39434494436426754}"
outer_fold_3,Linear SVC,False,1,0.5833583411318807,0.8628175519630485,0.7824091962905718,0.9626550639921452,0.9381663113006397,0.9067490984028851,0.9221902017291066,0.348257435847932,0.10260671006994618,"{""model__C"": 0.17630663769227095}"
outer_fold_3,Random Forest,False,2,0.2585455476671785,0.8554272517321017,0.8520230735261649,0.9789090750811724,0.9522222222222222,0.8830499742400825,0.9163325314087143,0.4060320214860319,0.17647724881253363,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""n_estimators"": 176}"
outer_fold_3,Random Forest,False,1,0.3740305568609627,0.8397228637413395,0.8526360215647311,0.9796058534396789,0.9518140589569161,0.8650180319422978,0.9063427800269905,0.38067346865840174,0.13825026706936397,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 233}"
